"","Date","DO","Alt"
"1",1921-10-31,"7632.3344229448512","EXP1 071323"
"2",1921-11-30,"8917.6280434076452","EXP1 071323"
"3",1921-12-31,"34305.537191431191","EXP1 071323"
"4",1922-01-31,"31580.977773687009","EXP1 071323"
"5",1922-02-28,"90398.069807050415","EXP1 071323"
"6",1922-03-31,"66222.922214275488","EXP1 071323"
"7",1922-04-30,"59807.745049179415","EXP1 071323"
"8",1922-05-31,"50288.551217606691","EXP1 071323"
"9",1922-06-30,"17704.554585887028","EXP1 071323"
"10",1922-07-31,"2742.1767985455926","EXP1 071323"
"11",1922-08-31,"3376.7719553273992","EXP1 071323"
"12",1922-09-30,"7529.5809812825428","EXP1 071323"
"13",1922-10-31,"9198.3982215217147","EXP1 071323"
"14",1922-11-30,"16572.238125147607","EXP1 071323"
"15",1922-12-31,"61530.815151646319","EXP1 071323"
"16",1923-01-31,"51873.216736122922","EXP1 071323"
"17",1923-02-28,"32897.729725698686","EXP1 071323"
"18",1923-03-31,"21660.487427444776","EXP1 071323"
"19",1923-04-30,"51344.22755557191","EXP1 071323"
"20",1923-05-31,"15672.998420243162","EXP1 071323"
"21",1923-06-30,"6105.4908920964381","EXP1 071323"
"22",1923-07-31,"353.48067074413683","EXP1 071323"
"23",1923-08-31,"215.00027660121799","EXP1 071323"
"24",1923-09-30,"8385.7853696374841","EXP1 071323"
"25",1923-10-31,"5633.1595971750321","EXP1 071323"
"26",1923-11-30,"5670.8033708211842","EXP1 071323"
"27",1923-12-31,"7573.9466920107971","EXP1 071323"
"28",1924-01-31,"13905.002401960093","EXP1 071323"
"29",1924-02-29,"24508.457177649401","EXP1 071323"
"30",1924-03-31,"9624.4289239573081","EXP1 071323"
"31",1924-04-30,"5067.0561796235352","EXP1 071323"
"32",1924-05-31,"1259.19109461944","EXP1 071323"
"33",1924-06-30,"0","EXP1 071323"
"34",1924-07-31,"0","EXP1 071323"
"35",1924-08-31,"0","EXP1 071323"
"36",1924-09-30,"1647.1002181342997","EXP1 071323"
"37",1924-10-31,"7637.0454252052032","EXP1 071323"
"38",1924-11-30,"10659.592339668719","EXP1 071323"
"39",1924-12-31,"18117.671048918466","EXP1 071323"
