"","Date","JonesExp","BanksExpSWP","BanksExpCVP","Alt"
"1",1921-10-31,"0","0","0","EXP1 071323"
"2",1921-11-30,"0","0","0","EXP1 071323"
"3",1921-12-31,"0","0","0","EXP1 071323"
"4",1922-01-31,"0","0","0","EXP1 071323"
"5",1922-02-28,"0","0","0","EXP1 071323"
"6",1922-03-31,"0","0","0","EXP1 071323"
"7",1922-04-30,"0","0","0","EXP1 071323"
"8",1922-05-31,"0","0","0","EXP1 071323"
"9",1922-06-30,"0","0","0","EXP1 071323"
"10",1922-07-31,"0","0","0","EXP1 071323"
"11",1922-08-31,"0","0","0","EXP1 071323"
"12",1922-09-30,"0","0","0","EXP1 071323"
"13",1922-10-31,"0","0","0","EXP1 071323"
"14",1922-11-30,"0","0","0","EXP1 071323"
"15",1922-12-31,"0","0","0","EXP1 071323"
"16",1923-01-31,"0","0","0","EXP1 071323"
"17",1923-02-28,"0","0","0","EXP1 071323"
"18",1923-03-31,"0","0","0","EXP1 071323"
"19",1923-04-30,"0","0","0","EXP1 071323"
"20",1923-05-31,"0","0","0","EXP1 071323"
"21",1923-06-30,"0","0","0","EXP1 071323"
"22",1923-07-31,"0","0","0","EXP1 071323"
"23",1923-08-31,"0","0","0","EXP1 071323"
"24",1923-09-30,"0","0","0","EXP1 071323"
"25",1923-10-31,"0","0","0","EXP1 071323"
"26",1923-11-30,"0","0","0","EXP1 071323"
"27",1923-12-31,"0","0","0","EXP1 071323"
"28",1924-01-31,"0","0","0","EXP1 071323"
"29",1924-02-29,"0","0","0","EXP1 071323"
"30",1924-03-31,"0","0","0","EXP1 071323"
"31",1924-04-30,"0","0","0","EXP1 071323"
"32",1924-05-31,"0","0","0","EXP1 071323"
"33",1924-06-30,"0","0","0","EXP1 071323"
"34",1924-07-31,"0","0","0","EXP1 071323"
"35",1924-08-31,"0","0","0","EXP1 071323"
"36",1924-09-30,"0","0","0","EXP1 071323"
"37",1924-10-31,"0","0","0","EXP1 071323"
"38",1924-11-30,"0","0","0","EXP1 071323"
"39",1924-12-31,"0","0","0","EXP1 071323"
"40",1925-01-31,"0","0","0","EXP1 071323"
"41",1925-02-28,"0","0","0","EXP1 071323"
"42",1925-03-31,"0","0","0","EXP1 071323"
"43",1925-04-30,"0","0","0","EXP1 071323"
"44",1925-05-31,"0","0","0","EXP1 071323"
"45",1925-06-30,"0","0","0","EXP1 071323"
"46",1925-07-31,"0","0","0","EXP1 071323"
"47",1925-08-31,"0","0","0","EXP1 071323"
"48",1925-09-30,"0","0","0","EXP1 071323"
"49",1925-10-31,"0","0","0","EXP1 071323"
"50",1925-11-30,"0","0","0","EXP1 071323"
"51",1925-12-31,"0","0","0","EXP1 071323"
"52",1926-01-31,"0","0","0","EXP1 071323"
"53",1926-02-28,"0","0","0","EXP1 071323"
"54",1926-03-31,"0","0","0","EXP1 071323"
"55",1926-04-30,"0","0","0","EXP1 071323"
"56",1926-05-31,"0","0","0","EXP1 071323"
"57",1926-06-30,"0","0","0","EXP1 071323"
"58",1926-07-31,"0","0","0","EXP1 071323"
"59",1926-08-31,"0","0","0","EXP1 071323"
"60",1926-09-30,"0","0","0","EXP1 071323"
"61",1926-10-31,"0","0","0","EXP1 071323"
"62",1926-11-30,"0","0","0","EXP1 071323"
"63",1926-12-31,"0","0","0","EXP1 071323"
"64",1927-01-31,"0","0","0","EXP1 071323"
"65",1927-02-28,"0","0","0","EXP1 071323"
"66",1927-03-31,"0","0","0","EXP1 071323"
"67",1927-04-30,"0","0","0","EXP1 071323"
"68",1927-05-31,"0","0","0","EXP1 071323"
"69",1927-06-30,"0","0","0","EXP1 071323"
"70",1927-07-31,"0","0","0","EXP1 071323"
"71",1927-08-31,"0","0","0","EXP1 071323"
"72",1927-09-30,"0","0","0","EXP1 071323"
"73",1927-10-31,"0","0","0","EXP1 071323"
"74",1927-11-30,"0","0","0","EXP1 071323"
"75",1927-12-31,"0","0","0","EXP1 071323"
"76",1928-01-31,"0","0","0","EXP1 071323"
"77",1928-02-29,"0","0","0","EXP1 071323"
"78",1928-03-31,"0","0","0","EXP1 071323"
"79",1928-04-30,"0","0","0","EXP1 071323"
"80",1928-05-31,"0","0","0","EXP1 071323"
"81",1928-06-30,"0","0","0","EXP1 071323"
"82",1928-07-31,"0","0","0","EXP1 071323"
"83",1928-08-31,"0","0","0","EXP1 071323"
"84",1928-09-30,"0","0","0","EXP1 071323"
"85",1928-10-31,"0","0","0","EXP1 071323"
"86",1928-11-30,"0","0","0","EXP1 071323"
"87",1928-12-31,"0","0","0","EXP1 071323"
"88",1929-01-31,"0","0","0","EXP1 071323"
"89",1929-02-28,"0","0","0","EXP1 071323"
"90",1929-03-31,"0","0","0","EXP1 071323"
"91",1929-04-30,"0","0","0","EXP1 071323"
"92",1929-05-31,"0","0","0","EXP1 071323"
"93",1929-06-30,"0","0","0","EXP1 071323"
"94",1929-07-31,"0","0","0","EXP1 071323"
"95",1929-08-31,"0","0","0","EXP1 071323"
"96",1929-09-30,"0","0","0","EXP1 071323"
"97",1929-10-31,"0","0","0","EXP1 071323"
"98",1929-11-30,"0","0","0","EXP1 071323"
"99",1929-12-31,"0","0","0","EXP1 071323"
"100",1930-01-31,"0","0","0","EXP1 071323"
"101",1930-02-28,"0","0","0","EXP1 071323"
"102",1930-03-31,"0","0","0","EXP1 071323"
"103",1930-04-30,"0","0","0","EXP1 071323"
"104",1930-05-31,"0","0","0","EXP1 071323"
"105",1930-06-30,"0","0","0","EXP1 071323"
"106",1930-07-31,"0","0","0","EXP1 071323"
"107",1930-08-31,"0","0","0","EXP1 071323"
"108",1930-09-30,"0","0","0","EXP1 071323"
"109",1930-10-31,"0","0","0","EXP1 071323"
"110",1930-11-30,"0","0","0","EXP1 071323"
"111",1930-12-31,"0","0","0","EXP1 071323"
"112",1931-01-31,"0","0","0","EXP1 071323"
"113",1931-02-28,"0","0","0","EXP1 071323"
"114",1931-03-31,"0","0","0","EXP1 071323"
"115",1931-04-30,"0","0","0","EXP1 071323"
"116",1931-05-31,"0","0","0","EXP1 071323"
"117",1931-06-30,"0","0","0","EXP1 071323"
"118",1931-07-31,"0","0","0","EXP1 071323"
"119",1931-08-31,"0","0","0","EXP1 071323"
"120",1931-09-30,"0","0","0","EXP1 071323"
"121",1931-10-31,"0","0","0","EXP1 071323"
"122",1931-11-30,"0","0","0","EXP1 071323"
"123",1931-12-31,"0","0","0","EXP1 071323"
"124",1932-01-31,"0","0","0","EXP1 071323"
"125",1932-02-29,"0","0","0","EXP1 071323"
"126",1932-03-31,"0","0","0","EXP1 071323"
"127",1932-04-30,"0","0","0","EXP1 071323"
"128",1932-05-31,"0","0","0","EXP1 071323"
"129",1932-06-30,"0","0","0","EXP1 071323"
"130",1932-07-31,"0","0","0","EXP1 071323"
"131",1932-08-31,"0","0","0","EXP1 071323"
"132",1932-09-30,"0","0","0","EXP1 071323"
"133",1932-10-31,"0","0","0","EXP1 071323"
"134",1932-11-30,"0","0","0","EXP1 071323"
"135",1932-12-31,"0","0","0","EXP1 071323"
"136",1933-01-31,"0","0","0","EXP1 071323"
"137",1933-02-28,"0","0","0","EXP1 071323"
"138",1933-03-31,"0","0","0","EXP1 071323"
"139",1933-04-30,"0","0","0","EXP1 071323"
"140",1933-05-31,"0","0","0","EXP1 071323"
"141",1933-06-30,"0","0","0","EXP1 071323"
"142",1933-07-31,"0","0","0","EXP1 071323"
"143",1933-08-31,"0","0","0","EXP1 071323"
"144",1933-09-30,"0","0","0","EXP1 071323"
"145",1933-10-31,"0","0","0","EXP1 071323"
"146",1933-11-30,"0","0","0","EXP1 071323"
"147",1933-12-31,"0","0","0","EXP1 071323"
"148",1934-01-31,"0","0","0","EXP1 071323"
"149",1934-02-28,"0","0","0","EXP1 071323"
"150",1934-03-31,"0","0","0","EXP1 071323"
"151",1934-04-30,"0","0","0","EXP1 071323"
"152",1934-05-31,"0","0","0","EXP1 071323"
"153",1934-06-30,"0","0","0","EXP1 071323"
"154",1934-07-31,"0","0","0","EXP1 071323"
"155",1934-08-31,"0","0","0","EXP1 071323"
"156",1934-09-30,"0","0","0","EXP1 071323"
"157",1934-10-31,"0","0","0","EXP1 071323"
"158",1934-11-30,"0","0","0","EXP1 071323"
"159",1934-12-31,"0","0","0","EXP1 071323"
"160",1935-01-31,"0","0","0","EXP1 071323"
"161",1935-02-28,"0","0","0","EXP1 071323"
"162",1935-03-31,"0","0","0","EXP1 071323"
"163",1935-04-30,"0","0","0","EXP1 071323"
"164",1935-05-31,"0","0","0","EXP1 071323"
"165",1935-06-30,"0","0","0","EXP1 071323"
"166",1935-07-31,"0","0","0","EXP1 071323"
"167",1935-08-31,"0","0","0","EXP1 071323"
"168",1935-09-30,"0","0","0","EXP1 071323"
"169",1935-10-31,"0","0","0","EXP1 071323"
"170",1935-11-30,"0","0","0","EXP1 071323"
"171",1935-12-31,"0","0","0","EXP1 071323"
"172",1936-01-31,"0","0","0","EXP1 071323"
"173",1936-02-29,"0","0","0","EXP1 071323"
"174",1936-03-31,"0","0","0","EXP1 071323"
"175",1936-04-30,"0","0","0","EXP1 071323"
"176",1936-05-31,"0","0","0","EXP1 071323"
"177",1936-06-30,"0","0","0","EXP1 071323"
"178",1936-07-31,"0","0","0","EXP1 071323"
"179",1936-08-31,"0","0","0","EXP1 071323"
"180",1936-09-30,"0","0","0","EXP1 071323"
"181",1936-10-31,"0","0","0","EXP1 071323"
"182",1936-11-30,"0","0","0","EXP1 071323"
"183",1936-12-31,"0","0","0","EXP1 071323"
"184",1937-01-31,"0","0","0","EXP1 071323"
"185",1937-02-28,"0","0","0","EXP1 071323"
"186",1937-03-31,"0","0","0","EXP1 071323"
"187",1937-04-30,"0","0","0","EXP1 071323"
"188",1937-05-31,"0","0","0","EXP1 071323"
"189",1937-06-30,"0","0","0","EXP1 071323"
"190",1937-07-31,"0","0","0","EXP1 071323"
"191",1937-08-31,"0","0","0","EXP1 071323"
"192",1937-09-30,"0","0","0","EXP1 071323"
"193",1937-10-31,"0","0","0","EXP1 071323"
"194",1937-11-30,"0","0","0","EXP1 071323"
"195",1937-12-31,"0","0","0","EXP1 071323"
"196",1938-01-31,"0","0","0","EXP1 071323"
"197",1938-02-28,"0","0","0","EXP1 071323"
"198",1938-03-31,"0","0","0","EXP1 071323"
"199",1938-04-30,"0","0","0","EXP1 071323"
"200",1938-05-31,"0","0","0","EXP1 071323"
"201",1938-06-30,"0","0","0","EXP1 071323"
"202",1938-07-31,"0","0","0","EXP1 071323"
"203",1938-08-31,"0","0","0","EXP1 071323"
"204",1938-09-30,"0","0","0","EXP1 071323"
"205",1938-10-31,"0","0","0","EXP1 071323"
"206",1938-11-30,"0","0","0","EXP1 071323"
"207",1938-12-31,"0","0","0","EXP1 071323"
"208",1939-01-31,"0","0","0","EXP1 071323"
"209",1939-02-28,"0","0","0","EXP1 071323"
"210",1939-03-31,"0","0","0","EXP1 071323"
"211",1939-04-30,"0","0","0","EXP1 071323"
"212",1939-05-31,"0","0","0","EXP1 071323"
"213",1939-06-30,"0","0","0","EXP1 071323"
"214",1939-07-31,"0","0","0","EXP1 071323"
"215",1939-08-31,"0","0","0","EXP1 071323"
"216",1939-09-30,"0","0","0","EXP1 071323"
"217",1939-10-31,"0","0","0","EXP1 071323"
"218",1939-11-30,"0","0","0","EXP1 071323"
"219",1939-12-31,"0","0","0","EXP1 071323"
"220",1940-01-31,"0","0","0","EXP1 071323"
"221",1940-02-29,"0","0","0","EXP1 071323"
"222",1940-03-31,"0","0","0","EXP1 071323"
"223",1940-04-30,"0","0","0","EXP1 071323"
"224",1940-05-31,"0","0","0","EXP1 071323"
"225",1940-06-30,"0","0","0","EXP1 071323"
"226",1940-07-31,"0","0","0","EXP1 071323"
"227",1940-08-31,"0","0","0","EXP1 071323"
"228",1940-09-30,"0","0","0","EXP1 071323"
"229",1940-10-31,"0","0","0","EXP1 071323"
"230",1940-11-30,"0","0","0","EXP1 071323"
"231",1940-12-31,"0","0","0","EXP1 071323"
"232",1941-01-31,"0","0","0","EXP1 071323"
"233",1941-02-28,"0","0","0","EXP1 071323"
"234",1941-03-31,"0","0","0","EXP1 071323"
"235",1941-04-30,"0","0","0","EXP1 071323"
"236",1941-05-31,"0","0","0","EXP1 071323"
"237",1941-06-30,"0","0","0","EXP1 071323"
"238",1941-07-31,"0","0","0","EXP1 071323"
"239",1941-08-31,"0","0","0","EXP1 071323"
"240",1941-09-30,"0","0","0","EXP1 071323"
"241",1941-10-31,"0","0","0","EXP1 071323"
"242",1941-11-30,"0","0","0","EXP1 071323"
"243",1941-12-31,"0","0","0","EXP1 071323"
"244",1942-01-31,"0","0","0","EXP1 071323"
"245",1942-02-28,"0","0","0","EXP1 071323"
"246",1942-03-31,"0","0","0","EXP1 071323"
"247",1942-04-30,"0","0","0","EXP1 071323"
"248",1942-05-31,"0","0","0","EXP1 071323"
"249",1942-06-30,"0","0","0","EXP1 071323"
"250",1942-07-31,"0","0","0","EXP1 071323"
"251",1942-08-31,"0","0","0","EXP1 071323"
"252",1942-09-30,"0","0","0","EXP1 071323"
"253",1942-10-31,"0","0","0","EXP1 071323"
"254",1942-11-30,"0","0","0","EXP1 071323"
"255",1942-12-31,"0","0","0","EXP1 071323"
"256",1943-01-31,"0","0","0","EXP1 071323"
"257",1943-02-28,"0","0","0","EXP1 071323"
"258",1943-03-31,"0","0","0","EXP1 071323"
"259",1943-04-30,"0","0","0","EXP1 071323"
"260",1943-05-31,"0","0","0","EXP1 071323"
"261",1943-06-30,"0","0","0","EXP1 071323"
"262",1943-07-31,"0","0","0","EXP1 071323"
"263",1943-08-31,"0","0","0","EXP1 071323"
"264",1943-09-30,"0","0","0","EXP1 071323"
"265",1943-10-31,"0","0","0","EXP1 071323"
"266",1943-11-30,"0","0","0","EXP1 071323"
"267",1943-12-31,"0","0","0","EXP1 071323"
"268",1944-01-31,"0","0","0","EXP1 071323"
"269",1944-02-29,"0","0","0","EXP1 071323"
"270",1944-03-31,"0","0","0","EXP1 071323"
"271",1944-04-30,"0","0","0","EXP1 071323"
"272",1944-05-31,"0","0","0","EXP1 071323"
"273",1944-06-30,"0","0","0","EXP1 071323"
"274",1944-07-31,"0","0","0","EXP1 071323"
"275",1944-08-31,"0","0","0","EXP1 071323"
"276",1944-09-30,"0","0","0","EXP1 071323"
"277",1944-10-31,"0","0","0","EXP1 071323"
"278",1944-11-30,"0","0","0","EXP1 071323"
"279",1944-12-31,"0","0","0","EXP1 071323"
"280",1945-01-31,"0","0","0","EXP1 071323"
"281",1945-02-28,"0","0","0","EXP1 071323"
"282",1945-03-31,"0","0","0","EXP1 071323"
