"","Date","DO","Alt"
"1",1921-10-31,"7651.6822248846784","EXP1 090623"
"2",1921-11-30,"8900.3148812914187","EXP1 090623"
"3",1921-12-31,"34318.683383644799","EXP1 090623"
"4",1922-01-31,"31553.122496757107","EXP1 090623"
"5",1922-02-28,"90448.372118732819","EXP1 090623"
"6",1922-03-31,"66243.193474761356","EXP1 090623"
"7",1922-04-30,"59627.383063156631","EXP1 090623"
"8",1922-05-31,"50338.769798167385","EXP1 090623"
"9",1922-06-30,"17831.108875245358","EXP1 090623"
"10",1922-07-31,"2862.1421172631672","EXP1 090623"
"11",1922-08-31,"3620.917190493516","EXP1 090623"
"12",1922-09-30,"7611.5459172021983","EXP1 090623"
"13",1922-10-31,"9216.089903800148","EXP1 090623"
"14",1922-11-30,"16618.692154774621","EXP1 090623"
"15",1922-12-31,"61592.674682954814","EXP1 090623"
"16",1923-01-31,"51946.762375591519","EXP1 090623"
"17",1923-02-28,"32871.365929290958","EXP1 090623"
"18",1923-03-31,"21671.422850248033","EXP1 090623"
"19",1923-04-30,"51369.785433017627","EXP1 090623"
"20",1923-05-31,"15878.287466993042","EXP1 090623"
"21",1923-06-30,"6864.039408673967","EXP1 090623"
"22",1923-07-31,"376.19795839205199","EXP1 090623"
"23",1923-08-31,"428.91918478634869","EXP1 090623"
"24",1923-09-30,"8301.6296213278547","EXP1 090623"
"25",1923-10-31,"5732.3905090240969","EXP1 090623"
"26",1923-11-30,"5673.7638115722621","EXP1 090623"
"27",1923-12-31,"7548.7695772549669","EXP1 090623"
"28",1924-01-31,"13861.466944198612","EXP1 090623"
"29",1924-02-29,"24478.728172102576","EXP1 090623"
"30",1924-03-31,"9606.132340095066","EXP1 090623"
"31",1924-04-30,"4974.0115434477448","EXP1 090623"
"32",1924-05-31,"1188.5033868213072","EXP1 090623"
"33",1924-06-30,"0","EXP1 090623"
"34",1924-07-31,"0","EXP1 090623"
"35",1924-08-31,"0","EXP1 090623"
"36",1924-09-30,"1488.4623458767157","EXP1 090623"
"37",1924-10-31,"7628.4762136548952","EXP1 090623"
"38",1924-11-30,"10733.343727545987","EXP1 090623"
"39",1924-12-31,"18254.17378132603","EXP1 090623"
"40",1925-01-31,"18248.810843598894","EXP1 090623"
"41",1925-02-28,"126382.89929243739","EXP1 090623"
"42",1925-03-31,"36099.093489329149","EXP1 090623"
"43",1925-04-30,"51367.477662731915","EXP1 090623"
"44",1925-05-31,"23154.055579161668","EXP1 090623"
"45",1925-06-30,"3214.2459738712482","EXP1 090623"
"46",1925-07-31,"0","EXP1 090623"
"47",1925-08-31,"0","EXP1 090623"
"48",1925-09-30,"6514.9870188691448","EXP1 090623"
"49",1925-10-31,"4396.7322035592169","EXP1 090623"
"50",1925-11-30,"7252.3900621043995","EXP1 090623"
"51",1925-12-31,"10352.334246039029","EXP1 090623"
"52",1926-01-31,"21056.251322433785","EXP1 090623"
"53",1926-02-28,"77924.29676647234","EXP1 090623"
"54",1926-03-31,"21038.126600052099","EXP1 090623"
"55",1926-04-30,"44204.454319425953","EXP1 090623"
"56",1926-05-31,"8673.9686592999587","EXP1 090623"
"57",1926-06-30,"467.38756027894829","EXP1 090623"
"58",1926-07-31,"0","EXP1 090623"
"59",1926-08-31,"0","EXP1 090623"
"60",1926-09-30,"3199.7106574594886","EXP1 090623"
"61",1926-10-31,"4044.5266054675553","EXP1 090623"
"62",1926-11-30,"42699.599705639848","EXP1 090623"
"63",1926-12-31,"28893.184923961751","EXP1 090623"
"64",1927-01-31,"54011.871187309218","EXP1 090623"
"65",1927-02-28,"183957.48928329573","EXP1 090623"
"66",1927-03-31,"79292.00747452525","EXP1 090623"
"67",1927-04-30,"75510.147998687971","EXP1 090623"
"68",1927-05-31,"19654.869582045616","EXP1 090623"
"69",1927-06-30,"5591.2057524494367","EXP1 090623"
"70",1927-07-31,"0","EXP1 090623"
"71",1927-08-31,"0","EXP1 090623"
"72",1927-09-30,"6124.5907671107443","EXP1 090623"
"73",1927-10-31,"7459.7766271276096","EXP1 090623"
"74",1927-11-30,"22860.90734361342","EXP1 090623"
"75",1927-12-31,"19929.197051948759","EXP1 090623"
"76",1928-01-31,"29633.926045138669","EXP1 090623"
"77",1928-02-29,"39222.939374063651","EXP1 090623"
"78",1928-03-31,"118781.95713529948","EXP1 090623"
"79",1928-04-30,"56268.553831412122","EXP1 090623"
"80",1928-05-31,"10975.535153720846","EXP1 090623"
"81",1928-06-30,"1763.1735959165064","EXP1 090623"
"82",1928-07-31,"0","EXP1 090623"
"83",1928-08-31,"0","EXP1 090623"
"84",1928-09-30,"3477.2184880232057","EXP1 090623"
"85",1928-10-31,"4204.3347252181084","EXP1 090623"
"86",1928-11-30,"12790.649726214846","EXP1 090623"
"87",1928-12-31,"13950.375435487796","EXP1 090623"
"88",1929-01-31,"14027.989817157033","EXP1 090623"
"89",1929-02-28,"25774.910068312209","EXP1 090623"
"90",1929-03-31,"18294.029564788718","EXP1 090623"
"91",1929-04-30,"15443.149740663261","EXP1 090623"
"92",1929-05-31,"3843.8370712057567","EXP1 090623"
"93",1929-06-30,"971.4151874342233","EXP1 090623"
"94",1929-07-31,"0","EXP1 090623"
"95",1929-08-31,"0","EXP1 090623"
"96",1929-09-30,"2046.4960568639747","EXP1 090623"
