"","Date","JonesExp","BanksExpSWP","BanksExpCVP","Alt"
"1",1921-10-31,"0","0","0","EXP1 090623"
"2",1921-11-30,"0","0","0","EXP1 090623"
"3",1921-12-31,"0","0","0","EXP1 090623"
"4",1922-01-31,"0","0","0","EXP1 090623"
"5",1922-02-28,"0","0","0","EXP1 090623"
"6",1922-03-31,"0","0","0","EXP1 090623"
"7",1922-04-30,"0","0","0","EXP1 090623"
"8",1922-05-31,"0","0","0","EXP1 090623"
"9",1922-06-30,"0","0","0","EXP1 090623"
"10",1922-07-31,"0","0","0","EXP1 090623"
"11",1922-08-31,"0","0","0","EXP1 090623"
"12",1922-09-30,"0","0","0","EXP1 090623"
"13",1922-10-31,"0","0","0","EXP1 090623"
"14",1922-11-30,"0","0","0","EXP1 090623"
"15",1922-12-31,"0","0","0","EXP1 090623"
"16",1923-01-31,"0","0","0","EXP1 090623"
"17",1923-02-28,"0","0","0","EXP1 090623"
"18",1923-03-31,"0","0","0","EXP1 090623"
"19",1923-04-30,"0","0","0","EXP1 090623"
"20",1923-05-31,"0","0","0","EXP1 090623"
"21",1923-06-30,"0","0","0","EXP1 090623"
"22",1923-07-31,"0","0","0","EXP1 090623"
"23",1923-08-31,"0","0","0","EXP1 090623"
"24",1923-09-30,"0","0","0","EXP1 090623"
"25",1923-10-31,"0","0","0","EXP1 090623"
"26",1923-11-30,"0","0","0","EXP1 090623"
"27",1923-12-31,"0","0","0","EXP1 090623"
"28",1924-01-31,"0","0","0","EXP1 090623"
"29",1924-02-29,"0","0","0","EXP1 090623"
"30",1924-03-31,"0","0","0","EXP1 090623"
"31",1924-04-30,"0","0","0","EXP1 090623"
"32",1924-05-31,"0","0","0","EXP1 090623"
"33",1924-06-30,"0","0","0","EXP1 090623"
"34",1924-07-31,"0","0","0","EXP1 090623"
"35",1924-08-31,"0","0","0","EXP1 090623"
"36",1924-09-30,"0","0","0","EXP1 090623"
"37",1924-10-31,"0","0","0","EXP1 090623"
"38",1924-11-30,"0","0","0","EXP1 090623"
"39",1924-12-31,"0","0","0","EXP1 090623"
"40",1925-01-31,"0","0","0","EXP1 090623"
"41",1925-02-28,"0","0","0","EXP1 090623"
"42",1925-03-31,"0","0","0","EXP1 090623"
"43",1925-04-30,"0","0","0","EXP1 090623"
"44",1925-05-31,"0","0","0","EXP1 090623"
"45",1925-06-30,"0","0","0","EXP1 090623"
"46",1925-07-31,"0","0","0","EXP1 090623"
"47",1925-08-31,"0","0","0","EXP1 090623"
"48",1925-09-30,"0","0","0","EXP1 090623"
"49",1925-10-31,"0","0","0","EXP1 090623"
"50",1925-11-30,"0","0","0","EXP1 090623"
"51",1925-12-31,"0","0","0","EXP1 090623"
"52",1926-01-31,"0","0","0","EXP1 090623"
"53",1926-02-28,"0","0","0","EXP1 090623"
"54",1926-03-31,"0","0","0","EXP1 090623"
"55",1926-04-30,"0","0","0","EXP1 090623"
"56",1926-05-31,"0","0","0","EXP1 090623"
"57",1926-06-30,"0","0","0","EXP1 090623"
"58",1926-07-31,"0","0","0","EXP1 090623"
"59",1926-08-31,"0","0","0","EXP1 090623"
"60",1926-09-30,"0","0","0","EXP1 090623"
"61",1926-10-31,"0","0","0","EXP1 090623"
"62",1926-11-30,"0","0","0","EXP1 090623"
"63",1926-12-31,"0","0","0","EXP1 090623"
"64",1927-01-31,"0","0","0","EXP1 090623"
"65",1927-02-28,"0","0","0","EXP1 090623"
"66",1927-03-31,"0","0","0","EXP1 090623"
"67",1927-04-30,"0","0","0","EXP1 090623"
