"","Water Year Type","Month","NAA Monthly Mean %","Alt1 Monthly Mean %","Alt1 % Diff","Alt2wTUCPwoVA Monthly Mean %","Alt2wTUCPwoVA % Diff","Alt2woTUCPwoVA Monthly Mean %","Alt2woTUCPwoVA % Diff","Alt2woTUCPDeltaVA Monthly Mean %","Alt2woTUCPDeltaVA % Diff","Alt2woTUCPAllVA Monthly Mean %","Alt2woTUCPAllVA % Diff","Alt3 Monthly Mean %","Alt3 % Diff","Alt4 Monthly Mean %","Alt4 % Diff","EXP1 Monthly Mean %","EXP1 % Diff","EXP3 Monthly Mean %","EXP3 % Diff"
"1","AN",12,38.0119379945805,42.9724623236806,13.0499116614558,38.0884555492141,0.201298746316183,38.0495827440582,0.0990340178999514,37.6915116325178,-0.842962445399173,37.6781376221551,-0.878146156275768,16.5599920497297,-56.4347599112396,35.0956635489433,-7.67199621880109,0,-100,0,-100
"2","AN",1,16.9156112207836,28.1136981970111,66.1997182961311,16.5459497870159,-2.18532708598488,16.5602100355317,-2.1010247907282,16.5372079668126,-2.2370060947374,16.4643564511658,-2.66768231858727,9.55167443847478,-43.5333768682329,16.2540169072131,-3.91114636613075,0,-100,0,-100
"3","AN",2,12.891114902121,19.1713795330198,48.7177771556867,12.9853831023524,0.731264913447464,12.923802980683,0.253570608983087,12.9421818836174,0.396140922520353,12.8916993129006,0.00453343860544391,10.1637064502935,-21.1572736147029,14.0910311073933,9.30808711568427,0,-100,0,-100
"4","AN",3,12.2815062180526,19.3471769544447,57.5309787817897,12.4821400239974,1.63362540703538,12.6412505115588,2.92915451182499,9.96503909723907,-18.8614252982146,10.0492789369071,-18.1755172493775,7.38726116999637,-39.8505277867482,13.0496643231708,6.25459199775554,0,-100,0,-100
"5","AN",4,13.4133616957853,18.7387550898593,39.7021530832741,17.9172009569213,33.5772594766539,17.9116705932122,33.536029218092,9.99177842916511,-25.5087676320197,9.46500159928584,-29.4360219760577,5.28607798518066,-60.5909532221022,17.9295705195166,33.6694776906699,0,-100,0,-100
"6","AN",5,19.1026268094538,25.9429424603162,35.8082462642109,24.7049296066922,29.3273948819739,24.7074701947585,29.3406945610793,23.254231761824,21.7331626366462,21.5662557484371,12.8968071436334,4.91383631866493,-74.276645993874,24.7792278808788,29.7163375908892,0,-100,0,-100
"7","AN",6,30.9000273503859,34.6336349510621,12.0828617992455,28.4475814799598,-7.93671100228167,28.4479067199326,-7.93565844666713,28.6870690291213,-7.16167107611647,29.1436588891841,-5.68403529642784,18.8183997146441,-39.0990839546649,28.4560815978184,-7.90920255459585,0,-100,0,-100
"8","BN",1,25.0008400135143,40.8092628033535,63.2315665445395,24.3460475449192,-2.61908187181383,24.4023119926109,-2.39403164285651,24.6503507172093,-1.40191008028338,24.6252844998456,-1.50217158089758,14.7360114053569,-41.0579348638235,24.3125401460685,-2.75310696390116,0,-100,0,-100
"9","BN",2,23.3068843117356,29.7905066659011,27.8184860208915,22.1746406144201,-4.85797965172632,22.1819728732357,-4.82652002495864,22.1685800116231,-4.88398313943373,22.1615466343378,-4.91416039174783,13.3996515845004,-42.5077526224588,24.3151769925143,4.32615817409392,0,-100,0,-100
"10","BN",3,20.6967997650755,30.6849535012181,48.2594113559379,20.554214619064,-0.688923638581511,20.5654682077114,-0.634550069840845,13.5983689462369,-34.2972387007227,13.5693052879161,-34.4376645571387,12.2214865124382,-40.9498731631872,20.6591649202715,-0.181838956897556,0,-100,0,-100
"11","BN",4,16.4661272729766,21.7488054696545,32.0820925837712,20.2781598208242,23.150753572176,20.2860457183375,23.198645206818,16.0004453221174,-2.82812068156096,14.5961730354066,-11.3563693913559,7.67542587862409,-53.3865750496133,20.3488022590349,23.5797702865468,0,-100,0,-100
"12","BN",5,17.7685041333156,24.5379403776835,38.097952385735,23.1466403275322,30.267805066003,22.7226373767732,27.8815436926329,22.4296794321301,26.2327951967266,20.7804117101593,16.9508223891309,7.13051068596773,-59.8699438485755,23.4305694204656,31.8657397644056,0,-100,0,-100
"13","BN",6,32.1154432814156,32.7991732126954,2.12897553768299,29.1594634700603,-9.20423170078379,29.4050200601192,-8.43962575121878,29.3715826169943,-8.54374215039743,30.1064557546612,-6.25551859630409,16.7001581063261,-47.9996026833917,29.186181640479,-9.12103754965663,0,-100,0,-100
"14","BN",12,25.4890149585202,36.3718491533209,42.6961740675776,25.3430490046635,-0.572662200144924,24.7661543594804,-2.83596914284904,25.901937250355,1.62000097887958,24.7750533788408,-2.80105598761403,14.9713924013163,-41.2633543285994,23.9588189840292,-6.0033546882107,0,-100,0,-100
"15","CD",1,33.6882878704208,47.006672997217,39.5341703859341,30.0806921463052,-10.7087535525462,30.5399081192205,-9.34562113488914,30.9193058951784,-8.21942030979148,31.535857575574,-6.38925404320318,24.4935009214752,-27.2937199548776,32.7752146467025,-2.71035805449782,0,-100,0,-100
"16","CD",2,29.0850565035939,36.9786990201028,27.1398562197516,31.2475366705821,7.43502137161393,28.4022615415957,-2.34757997432043,28.9302898740355,-0.532117341904572,28.828757084783,-0.881206535662931,24.0266653022719,-17.3917186672716,34.4152453902716,18.3262112144053,0,-100,0,-100
"17","CD",3,29.2850089384112,26.2820261225301,-10.2543346399404,27.8947031774173,-4.74749986902135,22.8386216321022,-22.0125843904174,22.4525905715237,-23.3307709799806,22.3986367116091,-23.5150081097284,17.5464831920892,-40.0837362590843,28.946513182335,-1.15586700618082,0,-100,0,-100
"18","CD",4,19.318312068715,19.910623866172,3.0660639260312,20.5845337427099,6.5545150605859,19.4327288001854,0.59227085194331,19.3315836273383,0.068699369676527,18.9046237476263,-2.14143098846901,9.13442359167627,-52.7162437422832,20.6759876064859,7.02792010472585,0,-100,0,-100
"19","CD",5,21.2541738863076,23.0362778184859,8.38472453321931,22.553095990397,6.11137422248236,22.2933655911102,4.88935354703221,22.3165891532501,4.99861943647178,21.3502330544425,0.451954372109494,9.57150300970266,-54.9664782978517,21.9159251345582,3.11351197082697,0,-100,0,-100
"20","CD",6,17.9256287883602,18.6663299714296,4.13207922474856,17.0551639032053,-4.85597964474268,16.5612308165183,-7.61143716603067,16.6562326822697,-7.08145929539022,16.0970698044655,-10.2008080468679,10.6098026142671,-40.8121034997868,16.3331251442978,-8.88394857923465,0,-100,0,-100
"21","CD",12,36.3450442902004,41.9533034104779,15.4306019701002,36.0421326775777,-0.833433054047526,39.6194809854003,9.0093072085835,38.8973081726801,7.022316060756,36.0359462103253,-0.850454541772259,11.5349971816823,-68.2625309531059,32.4436142811221,-10.7344208413311,0,-100,0,-100
"22","D",1,35.6493405052214,49.8436990148583,39.8166089708107,32.8427002072468,-7.8729094513363,32.8263000077284,-7.91891366708327,33.263007175693,-6.69390596210012,33.2378248053963,-6.76454505370696,17.8680009689921,-49.8784529649992,35.6389784588908,-0.0290665863206057,0,-100,0,-100
"23","D",2,23.3225585511924,31.9774972468157,37.109730806875,21.6140994736523,-7.3253501488273,21.6265197624305,-7.27209574815344,21.4923472568378,-7.84738642776844,22.1621552859102,-4.97545439851776,16.3524374142669,-29.8857482622509,24.1737766354859,3.64976287839561,0,-100,0,-100
"24","D",3,24.971256714144,32.2107104571923,28.9911470052197,24.6407891078719,-1.32339197043689,24.6309001061522,-1.36299350844863,19.225847464927,-23.0080901213224,19.1090021866531,-23.4760092157096,18.2448587651292,-26.9365616076701,24.8758071515315,-0.382237721173445,0,-100,0,-100
"25","D",4,16.8400281402728,20.5822408632193,22.2221286792098,19.0607162195444,13.1869618077467,19.0452861102711,13.095334233584,15.3529386482459,-8.83068293971848,14.2703738969135,-15.2592039749267,6.06341789620003,-63.9940156531009,19.1276789890687,13.5846022924691,0,-100,0,-100
"26","D",5,18.1996100113627,23.6593025932664,29.9989537055742,21.2533522361944,16.7791629761581,21.2486100680835,16.7531065490814,19.6286004571626,7.85176410322939,18.4617949827851,1.44060763532153,7.15443272825099,-60.6890877124058,21.2856088134731,16.9564007150907,0,-100,0,-100
"27","D",6,30.5422256198852,31.291331020536,2.45268766583634,27.8863492702851,-8.69575250557676,27.874802235103,-8.73355929584079,27.5066152480972,-9.93906079264747,27.7387806446071,-9.17891515231572,9.17311135855074,-69.9658057905957,28.080821184932,-8.05902119114276,0,-100,0,-100
"28","D",12,22.014886124645,37.0086784627904,68.1075171284227,22.945769043679,4.22842486562699,22.1677764156246,0.69448594970692,22.1645379912948,0.679775792627066,22.2558728388451,1.09465346691187,13.3423739708323,-39.3938542525737,21.6521359454885,-1.64774951413616,0,-100,0,-100
"29","W",1,11.6831539649797,18.4267838771462,57.720971001329,11.3272574714043,-3.04623644130788,11.3198560038372,-3.10958806356094,11.4084166322182,-2.35156819455631,11.4099614606083,-2.3383454946352,9.44598353905366,-19.148685642866,11.0672101199119,-5.27206820105298,0,-100,0,-100
