"","Inflow Group","NAA","Alt1","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt2wTUCPwoVA","Alt3","Alt4","EXP1","EXP3"
"1","hihi",11.7100527007716,14.6269742412194,12.4608154943462,11.7886884980906,11.8482987922559,12.4495591610283,6.72951175724206,12.6893399968682,0,0
"2","hilo",15.5041635899073,29.5581454884233,15.6744663121559,15.8276962329109,15.6876153262341,15.6562007679802,11.2402745165556,15.3936539904533,0,0
"3","himed",13.6150674197844,24.4594501491609,13.9487643847299,13.1801448272084,13.0736908953631,13.9192265775259,10.0183635438194,13.9640694811705,0,0
"4","lohi",28.6721456263855,32.1475385167868,31.1849421214559,30.7419238581596,31.2854157448255,31.9856111365395,26.1454126408233,31.146545387027,0,0
"5","lolo",29.4716882054431,32.5844618513782,28.6257988930224,29.0823009494224,28.3562669653977,29.1466542469146,15.4460568215127,29.5794139227557,0,0
"6","lomed",26.1433933756415,28.2810005569819,26.4503377213707,24.3340396834456,24.3256218540509,26.8536165405693,14.9375573811929,27.6142272802788,0,0
"7","medhi",21.462175346877,28.5973562711163,25.6896478111851,23.3619253882896,23.6313109245839,25.7832765262471,10.0067841455564,25.8260843159613,0,0
"8","medlo",32.1004789273862,43.4698975522607,31.2462864307654,31.1888620450132,31.783988478301,31.1540929072931,15.0982765533247,29.9936225251777,0,0
"9","medmed",24.6478201429549,34.7004648822512,25.1102678730052,22.2353604827864,21.6638796145692,25.261332661385,11.1258239991371,25.4200810157355,0,0
"10",NA,NA,9.62628442778623,NA,NA,NA,32.534098523946,9.18857461892622,NA,0,0
