"","Inflow Group","NAA","Alt1","Alt1 % Diff","Alt2wTUCPwoVA","Alt2wTUCPwoVA % Diff","Alt2woTUCPwoVA","Alt2woTUCPwoVA % Diff","Alt2woTUCPDeltaVA","Alt2woTUCPDeltaVA % Diff","Alt2woTUCPAllVA","Alt2woTUCPAllVA % Diff","Alt3","Alt3 % Diff","Alt4","Alt4 % Diff"
"1","hihi",11.7100527007716,14.6269742412194,24.9095509216253,12.4495591610283,6.3151420335455,12.4608154943462,6.41126741919092,11.7886884980906,0.671523855001885,11.8482987922559,1.18057616833063,6.72951175724206,-42.5321821412585,12.6893399968682,8.36279153578951
"2","hilo",15.5041635899073,29.5581454884233,90.6465016124105,15.6562007679802,0.980621606520783,15.6744663121559,1.09843218088491,15.8276962329109,2.08674683498737,15.6876153262341,1.18324174834102,11.2402745165556,-27.5015743263141,15.3936539904533,-0.712773693422071
"3","himed",13.6150674197844,24.4594501491609,79.6498643379342,13.9192265775259,2.2339893616651,13.9487643847299,2.450938762599,13.1801448272084,-3.19442114509095,13.0736908953631,-3.97630439666147,10.0183635438194,-26.4170845804152,13.9640694811705,2.56335169430733
"4","lohi",28.6721456263855,32.1475385167868,12.1211468987627,31.9856111365395,11.5563918840617,31.1849421214559,8.76389415641773,30.7419238581596,7.21877692288705,31.2854157448255,9.114316565256,26.1454126408233,-8.81250053095762,31.146545387027,8.62997765456535
"5","lolo",29.4716882054431,32.5844618513782,10.5619115682701,29.1466542469146,-1.10286847588337,28.6257988930224,-2.87017596862485,29.0823009494224,-1.32122480838642,28.3562669653977,-3.78472122896362,15.4460568215127,-47.5901865076734,29.5794139227557,0.365522723237706
"6","lomed",26.1433933756415,28.2810005569819,8.1764717786483,26.8536165405693,2.71664490803813,26.4503377213707,1.17407997239986,24.3340396834456,-6.92088309347707,24.3256218540509,-6.95308178044045,14.9375573811929,-42.8629743409264,27.6142272802788,5.62602521984628
"7","medhi",21.462175346877,28.5973562711163,33.2453761509203,25.7832765262471,20.1335657244962,25.6896478111851,19.6973158404619,23.3619253882896,8.85161923574088,23.6313109245839,10.1067834115081,10.0067841455564,-53.3747908409828,25.8260843159613,20.3330226249379
"8","medlo",32.1004789273862,43.4698975522607,35.4182211754318,31.1540929072931,-2.94819906654315,31.2462864307654,-2.66099611333853,31.1888620450132,-2.83988561178519,31.783988478301,-0.985936844746511,15.0982765533247,-52.9655722972914,29.9936225251777,-6.56331765944798
"9","medmed",24.6478201429549,34.7004648822512,40.7851269645427,25.261332661385,2.48911471631894,25.1102678730052,1.8762216186588,22.2353604827864,-9.78772015608856,21.6638796145692,-12.1063059981741,11.1258239991371,-54.8608195994273,25.4200810157355,3.13318122374147
"10",NA,NA,9.62628442778623,NA,32.534098523946,NA,NA,NA,NA,NA,NA,NA,9.18857461892622,NA,NA,NA
